Long,Lat,track_seg_point_id,ele
-114.474579,48.587913,318,1219
-114.475637,48.587179,319,1211
-114.475082,48.585937,320,1214
-114.473043,48.584926,321,1219
-114.470799,48.579975,322,1235
-114.463638,48.574478,323,1248
-114.462614,48.572246,324,1243
-114.461246,48.571554,325,1241
-114.460505,48.56969,326,1245
-114.459273,48.569103,327,1249
-114.457917,48.565841,328,1235
-114.456252,48.564534,329,1226
-114.454531,48.560703,330,1215
-114.452537,48.558792,331,1215
-114.452551,48.555479,332,1198
-114.45105,48.553002,333,1191
-114.449312,48.546856,334,1182
-114.448384,48.546123,335,1179
-114.448156,48.544832,336,1187
-114.449082,48.544104,337,1176
-114.448612,48.543179,338,1170
-114.449123,48.542139,339,1164
-114.448085,48.539729,340,1144
-114.449166,48.537106,341,1118
-114.448986,48.53563,342,1106
-114.446798,48.531327,343,1096
-114.446396,48.529046,344,1092
-114.443751,48.525355,345,1083
-114.441331,48.520205,346,1065
-114.441217,48.518824,347,1055
-114.439418,48.515666,348,1049
-114.438003,48.51523,349,1041
-114.436217,48.513815,350,1043
-114.437536,48.509962,351,1019
-114.436305,48.507732,352,1010
-114.434548,48.505986,353,1006
-114.434272,48.504954,354,1002
-114.435141,48.503443,355,982
-114.434673,48.50147,356,974
-114.431871,48.500042,357,967
-114.432419,48.497999,358,960
-114.430007,48.497379,359,959
-114.430338,48.494835,360,951
-114.428203,48.490797,361,941
-114.422692,48.487321,362,935
-114.418025,48.486634,363,935
-114.416543,48.487239,364,937
-114.414877,48.487216,365,939
-114.413538,48.486063,366,943
-114.41171,48.48693,367,957
-114.410975,48.486863,368,960
-114.409949,48.485542,369,965
-114.401795,48.480727,370,966
-114.393418,48.476823,371,979
-114.391777,48.477313,372,978
-114.391273,48.477049,373,983
-114.39152,48.476144,374,982
-114.390064,48.475477,375,981
-114.388652,48.475351,376,986
-114.378633,48.467763,377,982
-114.374871,48.465852,378,972
-114.374675,48.464331,379,956
-114.373195,48.463044,380,947
-114.371082,48.459978,381,942
-114.364744,48.454485,382,949
-114.359298,48.447977,383,953
-114.355909,48.440689,384,945
-114.353232,48.439739,385,943
-114.345624,48.439679,386,940
-114.343268,48.438908,387,938
-114.341657,48.437472,388,930
-114.341186,48.436291,389,926
-114.340999,48.41649,390,926
-114.339187,48.414969,391,925
-114.33084,48.415257,392,926
-114.326712,48.414333,393,926
-114.278895,48.414143,394,951
-114.279045,48.409302,395,945
-114.278329,48.408944,396,945
-114.268489,48.408954,397,944
-114.267978,48.408687,398,944
-114.267982,48.407271,399,944
-114.262656,48.406976,400,950
-114.262622,48.403627,401,944
-114.243376,48.403338,402,967
-114.241053,48.401002,403,952
-114.240982,48.399917,404,950
-114.219224,48.399729,405,975
-114.219047,48.385257,406,939
-114.18666,48.385142,407,939
-114.186546,48.381736,408,937
-114.178441,48.381694,409,946
-114.176152,48.382372,410,948
-114.175712,48.381394,411,947
-114.180749,48.379561,412,944
-114.181275,48.370417,413,929
-114.178316,48.367986,414,920
-114.176579,48.367435,415,918
-114.171349,48.366851,416,919
-114.167807,48.365219,417,921
-114.17152,48.362414,418,918
-114.181036,48.358838,419,916
-114.180964,48.3454,420,936
-114.175587,48.345294,421,933
-114.17536,48.301931,422,933
-114.15431,48.302138,423,929
-114.154139,48.269333,424,932
-114.143298,48.269274,425,929
-114.142889,48.268427,426,930
-114.143185,48.268568,427,930
-114.143036,48.251086,428,928
-114.137484,48.250872,429,920
-114.137514,48.240292,430,928
-114.132099,48.240107,431,939
-114.131912,48.225639,432,935
-114.115662,48.225591,433,931
-114.115614,48.211279,434,919
-114.104886,48.211472,435,920
-114.10488,48.208037,436,916
-114.098723,48.207995,437,912
-114.09092,48.206342,438,919
-114.0849,48.206365,439,940
-114.084473,48.205603,440,940
-114.080016,48.20349,441,945
-114.075637,48.203839,442,951
-114.075593,48.204338,443,951
-114.073459,48.20253,444,958
-114.072361,48.200622,445,972
-114.072331,48.197099,446,974
-114.066528,48.193587,447,993
-114.06518,48.19347,448,995
-114.061599,48.190663,449,995
-114.060946,48.188908,450,996
-114.059094,48.186882,451,993
-114.054384,48.186233,452,1000
-114.05133,48.18511,453,1000
-114.051485,48.176202,454,982
-114.049708,48.175347,455,981
-114.040561,48.175352,456,1002
-114.040525,48.168302,457,981
-114.029664,48.16823,458,992
-114.008266,48.154023,459,961
-114.008025,48.135888,460,941
-114.009164,48.135542,461,941
-114.009824,48.134459,462,940
-114.012519,48.133491,463,940
-114.015264,48.131375,464,940
-114.016165,48.129584,465,940
-114.021525,48.126701,466,936
-114.024303,48.126181,467,934
-114.024753,48.124874,468,937
-114.027787,48.121664,469,937
-114.027736,48.118086,470,927
-114.029493,48.116838,471,928
-114.029438,48.095336,472,933
-114.028613,48.073485,473,929
-114.026274,48.071062,474,926
-114.021356,48.062631,475,931
-114.021395,48.059305,476,926
-114.021955,48.057839,477,922
-114.023322,48.057078,478,926
-114.029262,48.056937,479,919
-114.02947,48.055296,480,925
-114.028657,48.05472,481,931
-114.018607,48.051992,482,934
-114.007069,48.051655,483,935
-114.006661,48.037944,484,937
-114.007243,48.023228,485,946
-114.006604,48.022186,486,947
-114.000052,48.020017,487,951
-113.999544,48.019658,488,953
-113.996705,48.015725,489,964
-113.992339,48.01162,490,973
-113.988133,48.010146,491,984
-113.981648,48.00586,492,999
-113.977584,48.003884,493,1012
-113.974251,48.001352,494,1029
-113.971473,48.000024,495,1039
-113.969633,47.999853,496,1046
-113.962151,47.996875,497,1073
-113.95534,47.992668,498,1100
-113.951474,47.986802,499,1150
-113.950758,47.982999,500,1177
-113.951529,47.981725,501,1187
-113.95036,47.977587,502,1213
-113.950845,47.972726,503,1252
-113.952614,47.975495,504,1276
-113.953549,47.972926,505,1292
-113.954743,47.972225,506,1301
-113.956784,47.96954,507,1313
-113.957216,47.968119,508,1328
-113.956678,47.96567,509,1329
-113.961291,47.964749,510,1357
-113.959877,47.962766,511,1374
-113.960338,47.957788,512,1436
-113.95608,47.958319,513,1432
-113.954797,47.953551,514,1465
-113.952813,47.953199,515,1471
-113.951343,47.951693,516,1485
-113.950478,47.951453,517,1479
-113.947708,47.95299,518,1454
-113.942886,47.952319,519,1456
-113.9409,47.950808,520,1471
-113.940597,47.948206,521,1485
-113.94181,47.945914,522,1499
-113.942907,47.945409,523,1509
-113.94308,47.944586,524,1506
-113.941385,47.94237,525,1486
-113.938254,47.940338,526,1477
-113.935604,47.939907,527,1456
-113.930289,47.936418,528,1436
-113.924108,47.934069,529,1412
-113.926828,47.936437,530,1387
-113.929048,47.936962,531,1390
-113.929726,47.939053,532,1368
-113.931947,47.940977,533,1358
-113.924887,47.940493,534,1313
-113.922986,47.941362,535,1307
-113.922875,47.943092,536,1313
-113.922399,47.943283,537,1308
-113.922185,47.941002,538,1293
-113.924231,47.940081,539,1287
-113.924592,47.939202,540,1284
-113.922276,47.936684,541,1278
-113.920749,47.936297,542,1277
-113.912102,47.936555,543,1215
-113.909531,47.935845,544,1194
-113.908098,47.934977,545,1176
-113.90607,47.934647,546,1167
-113.901565,47.932755,547,1141
-113.900597,47.933052,548,1137
-113.899202,47.931932,549,1128
-113.896815,47.931031,550,1122
-113.893201,47.927616,551,1087
-113.889973,47.927709,552,1070
-113.888244,47.928593,553,1072
-113.887867,47.929626,554,1071
-113.888299,47.93093,555,1059
-113.890243,47.931951,556,1062
-113.890481,47.932898,557,1044
-113.886823,47.931812,558,1020
-113.885065,47.930534,559,1009
-113.884518,47.929373,560,1001
-113.884566,47.927035,561,976
-113.886533,47.924596,562,962
-113.888121,47.924125,563,960
-113.88888,47.922858,564,953
-113.888673,47.921552,565,949
-113.885015,47.916416,566,957
-113.885766,47.915254,567,959
-113.882029,47.912173,568,951
-113.8815,47.911229,569,950
-113.881818,47.910004,570,953
-113.879797,47.906772,571,952
-113.878466,47.905948,572,951
-113.876074,47.902723,573,951
-113.873192,47.902945,574,954
-113.871872,47.902161,575,962
-113.868312,47.896778,576,966
-113.86828,47.893077,577,970
-113.870046,47.890667,578,973
-113.869921,47.88954,579,965
-113.867663,47.887454,580,962
-113.867148,47.88616,581,962
-113.86591,47.88509,582,963
-113.8648,47.88665,583,955
-113.86337,47.88723,584,945
-113.85255,47.885,585,941
-113.83308,47.88494,586,945
-113.83476,47.88036,587,964
-113.83235,47.85753,588,961
-113.8287,47.85608,589,969
-113.82764,47.85614,590,975
-113.82344,47.85467,591,981
-113.82213,47.856,592,989
-113.82088,47.85464,593,990
-113.81515,47.85329,594,988
-113.81266,47.85034,595,996
-113.80932,47.84502,596,997
-113.80713,47.84518,597,1004
-113.80616,47.84592,598,1009
-113.80519,47.84594,599,1009
-113.80417,47.84546,600,1005
-113.80188,47.84651,601,1005
-113.79884,47.84657,602,1011
-113.79626,47.84298,603,1027
-113.79453,47.84289,604,1028
-113.79137,47.8397,605,1042
-113.78878,47.83809,606,1055
-113.78729,47.83774,607,1062
-113.7865,47.83849,608,1065
-113.78436,47.83804,609,1066
-113.78147,47.83417,610,1087
-113.78031,47.83401,611,1088
-113.77676,47.83158,612,1094
-113.77588,47.82903,613,1095
-113.77681,47.82655,614,1104
-113.77649,47.82251,615,1119
-113.77566,47.8218,616,1120
-113.77485,47.81992,617,1116
-113.77122,47.81824,618,1114
-113.77005,47.81688,619,1114
-113.77108,47.81513,620,1109
-113.77353,47.81455,621,1106
-113.77399,47.81106,622,1111
-113.77265,47.80985,623,1112
-113.77117,47.81012,624,1116
-113.77148,47.80777,625,1114
-113.77079,47.80424,626,1122
-113.76959,47.80275,627,1132
-113.76633,47.80047,628,1149
-113.76637,47.79957,629,1149
-113.77182,47.79648,630,1141
-113.7726,47.79514,631,1137
-113.77246,47.79423,632,1136
-113.76854,47.78852,633,1156
-113.76828,47.7861,634,1171
-113.76752,47.7852,635,1171
-113.76562,47.78434,636,1167
-113.76345,47.78039,637,1149
-113.76378,47.77922,638,1150
-113.76215,47.77773,639,1149
-113.7602,47.77322,640,1148
-113.76008,47.77152,641,1147
-113.76112,47.7711,642,1140
-113.76708,47.77089,643,1116
-113.76658,47.76758,644,1089
-113.76749,47.76736,645,1080
-113.76711,47.76669,646,1078
-113.77204,47.76588,647,1068
-113.77746,47.76321,648,1062
-113.78048,47.76015,649,1051
-113.78883,47.75654,650,1037
-113.79202,47.75575,651,1035
-113.7885,47.7534,652,1048
-113.78289,47.75206,653,1048
-113.77889,47.75229,654,1062
-113.77791,47.7513,655,1068
-113.77817,47.74863,656,1069
-113.77712,47.74682,657,1074
-113.7738,47.74419,658,1088
-113.76991,47.74352,659,1108
-113.76579,47.74006,660,1118
-113.76495,47.73533,661,1115
-113.76246,47.73389,662,1121
-113.76207,47.72768,663,1127
-113.76064,47.72695,664,1137
-113.75817,47.72256,665,1141
-113.75631,47.72195,666,1151
-113.75508,47.72031,667,1158
-113.75376,47.71647,668,1158
-113.75503,47.71625,669,1155
-113.75574,47.71256,670,1160
-113.75513,47.71142,671,1161
-113.75651,47.71012,672,1160
-113.75801,47.71106,673,1149
-113.7594,47.71117,674,1139
-113.76107,47.71198,675,1130
-113.7631,47.71203,676,1127
-113.76374,47.70955,677,1123
-113.76424,47.70932,678,1119
-113.76694,47.70966,679,1111
-113.76788,47.71043,680,1109
-113.76844,47.70897,681,1109
-113.76977,47.70836,682,1104
-113.77274,47.71009,683,1096
-113.77432,47.70994,684,1096
-113.77836,47.70786,685,1091
-113.78009,47.70753,686,1090
-113.78021,47.70679,687,1090
-113.78103,47.70634,688,1087
-113.78227,47.70649,689,1090
-113.78535,47.70884,690,1087
-113.78964,47.70881,691,1079
-113.79128,47.71038,692,1078
-113.79229,47.71055,693,1075
-113.79351,47.71022,694,1075
-113.79423,47.70937,695,1078
-113.79366,47.70819,696,1075
-113.79493,47.70537,697,1055
-113.79395,47.70321,698,1058
-113.79647,47.70167,699,1056
-113.79648,47.7003,700,1063
-113.79806,47.69925,701,1058
-113.80549,47.69898,702,1040
-113.80878,47.69716,703,1031
-113.80881,47.69526,704,1027
-113.81045,47.69499,705,1025
-113.81043,47.68343,706,1037
-113.80999,47.68129,707,1039
-113.80728,47.6771,708,1051
-113.80814,47.67392,709,1040
-113.81143,47.67287,710,1028
-113.81132,47.67068,711,1030
-113.81331,47.66953,712,1031
-113.81544,47.6695,713,1046
-113.81661,47.66813,714,1048
-113.817079,47.663841,715,1058
-113.819824,47.660911,716,1064
-113.821729,47.660327,717,1068
-113.8236,47.662341,718,1057
-113.825638,47.660427,719,1060
-113.830098,47.657722,720,1091
-113.830954,47.650764,721,1136
-113.826634,47.649921,722,1136
-113.824177,47.646603,723,1132
-113.822506,47.641265,724,1120
-113.818778,47.637828,725,1103
-113.818275,47.63233,726,1093
-113.815462,47.631729,727,1088
-113.814472,47.628827,728,1090
-113.811962,47.626667,729,1079
-113.812789,47.625315,730,1070
-113.811212,47.623267,731,1079
-113.810832,47.621105,732,1085
-113.811981,47.618454,733,1083
-113.810035,47.614562,734,1085
-113.807896,47.612944,735,1084
-113.807405,47.607779,736,1082
-113.808318,47.60644,737,1084
-113.806114,47.605649,738,1096
-113.807827,47.605179,739,1096
-113.808613,47.60327,740,1107
-113.808249,47.601798,741,1105
-113.808895,47.596738,742,1108
-113.808032,47.595346,743,1103
-113.808562,47.59113,744,1117
-113.807861,47.589981,745,1123
-113.807376,47.585859,746,1128
